"filename", "language", "Properties", "JSON with Comments", "Makefile", "Docker", "YAML", "Shell Script", "JavaScript", "CSS", "JSON", "Markdown", "JavaScript JSX", "XML", "comment", "blank", "total"
"d:\FrontHooks\Next-SabzLearn\anjoman\.env", "Properties", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 12
"d:\FrontHooks\Next-SabzLearn\anjoman\Dockerfile", "Docker", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 11
"d:\FrontHooks\Next-SabzLearn\anjoman\Makefile", "Makefile", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\FrontHooks\Next-SabzLearn\anjoman\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 14, 37
"d:\FrontHooks\Next-SabzLearn\anjoman\docker-compose.yml", "YAML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 2, 24
"d:\FrontHooks\Next-SabzLearn\anjoman\jsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\FrontHooks\Next-SabzLearn\anjoman\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 25, 5, 70
"d:\FrontHooks\Next-SabzLearn\anjoman\nginx-default.conf", "Properties", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 34
"d:\FrontHooks\Next-SabzLearn\anjoman\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 7860, 0, 0, 0, 0, 1, 7861
"d:\FrontHooks\Next-SabzLearn\anjoman\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 1, 62
"d:\FrontHooks\Next-SabzLearn\anjoman\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\FrontHooks\Next-SabzLearn\anjoman\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"d:\FrontHooks\Next-SabzLearn\anjoman\public\images\burst.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\500.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\500.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\admin\admins\getadmin\[...levelisactiveprovince]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 4, 8, 50
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\admin\admins\putadmin\[...idlevel]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 1, 5, 59
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\admin\contract\getperregion\[...regionlevelyear]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 7, 76
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\admin\contract\putsubmit\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 8, 11, 67
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\admin\contract\removecontract\[id]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 6, 30
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\admin\lecturer\getperprovince\[...provincelevelyear]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 2, 8, 83
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\admin\lecturer\remove\[lecturerid]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 5, 36
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\admin\lecturer\update\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 1, 7, 81
